en,Kn
"ನಿರ್ದೇಶಕರಾಗಿ ನಗರಿ ಶ್ರೀರಂಗ ಆಚಾರ್ಯ (ಡೆಟ್ರಾಯ್ಟ್) ಕಾಂತಿ ಚಂದ್ರಶೆಖರ್ (ಕೆಂಟಕಿ), ಶ್ರೀನಿವಾಸ್ ಮಟ್ಟು (ಒಂಟಾರಿಯೊ, ಕೆನಡ), ಚೇತನಾ ಕೆ. (ಒಹಾಯೊ), ಪ್ರಶಾಂತ ಮಟ್ಟು (ಡೆಟ್ರಾಯ್ಟ್) ಆಯ್ಕೆಯಾಗಿದ್ದಾರೆ.","Nagari Sriranga Acharya (Detroit), Kanti Chandrashekhar (Kentucky), Srinivas Mattu (Ontario, Canada), Chetna K (Ohio), Prasanta Mattu (Detroit) have been selected as directors."
ತಮ್ಮ ಓಡಿ ಹೋಗಿ ನೀರು ತಂದದ್ದನ್ನು ಪ್ರಸಾದ್ ರಮ್ಯಳ ಮುಖಕ್ಕೆ ಚಿಮುಕಿಸಿದ್ದೇ,Prasad sprinkled his running water on Ramya's face.
ಅಭಿನವನು ಒಳ್ಳೆಯದನ್ನು ಕಲಿಯುತ್ತಾನೆ,Abhinav learns the good
ಅಷ್ಟು ಹೊತ್ತಿಗೆ ಮಗು,"At that time, the child"
ಬಂಧುಗಳೇ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ನಾವು ಬಲಿಯೆಂದ್ರ ಕರೆಯುವ ಮಾಹಿತಿ ದಿನಕ್ಕೆ ಮೂರು ನಾಲ್ಕು ಗುಂಪುಗಳಲ್ಲಿ ಬರುತ್ತಲೇ ಇರುತ್ತದೆ,"Relatives, the information that we call baliyendra on social media keeps coming in groups of three to four every day."
ತನ್ನ ತಾಯಿ ಅದೆಷ್ಟು ಕಷ್ಟದಿಂದ ಜೀವನ ಸಾಗಿಸುತ್ತಿದ್ದಾಳೆಯೋ ಏನೋ,Something about how hard his mother was living.
ಕ್ರಮಗಳ ಬಗ್ಗೆ ಹಾಗೆ ಮಾಡುತ್ತಿದ್ದರು ಹೀಗೆ ಮಾಡುತ್ತಿದ್ದರು,He did so in regard to the measures
ಪಂಚಾಗದ ಮೇಲೆ ನಿಂತ ಮೂಲ ಆಚರಣೆಗಳಿಗೆ ಹೇಳುವಂತಹ ಪೆಟ್ಟು ಬೀಳಲಿಲ್ಲ,The original rituals standing on the panchagah were not damaged to the point
ಆರವನು ಕೊಳಕಾದ ಉಡುಪನ್ನು ಧರಿಸಿದ್ದಾನೆ,The sixth is wearing a dirty dress
ಈ ಪರಿಷ್ಕೃತ ಜಾಹೀರಾರು ಇವತ್ತಿನಿಂದ ಜಾರಿಗೆ ಬರಲಿದೆ.,The revised advertisement will come into effect from today.
ಪ್ರತೀ ಮನೆ ಮನೆಗೆ ರಾತ್ರಿಯಿಡೀ ಹೋಗಿ,Go to every house at night.
ಹೊಟ್ಟೆಯ ಹಸಿವನ್ನು ಚಂದದಲ್ಲಿ ಸುಧಾರಿಸಿಕೊಂಡು ಬಂದರು,The appetite of the stomach was improved by sundas.
ಮಕ್ಕಳಿಗೆ ಬಜೆ ಪಿನಾರಿ ಅರೆದು ನಕ್ಕಿಸುತ್ತಾರೆ,Children grind baje pinari and laugh
ಹೊದಿಕೆಯ ಹಾಲೆ ತೆಗೆದರು ತಾಯಿ ಬೀರಕ್ಕೆ ಬೈದೆದಿ,The mother took out the lid of the envelope and gave it to the bearer.
ಪ್ರಕಾಶನು ಬಯಸುತ್ತಿದ್ದಾನೆ,Wanting to publish
ರಾಜನು ನೋಡುತ್ತಿದ್ದಾನೆ,The king is watching.
ಅಮರನು ಹಣವನ್ನು ಸಾಲ ಪಡೆಯುತ್ತಾನೆ,Amar borrows money
ಶಿವನು ಪ್ರೀತಿಸುತ್ತಾನೆ,Shiva loves
ವಿನೀತನು ಚೇಷ್ಟೆ-ಮಾಡುತ್ತಾನೆ,The humble one misbehaves
"ಕರ್ನಾಟಕಕ್ಕೆ 94,47,900 ಡೋಸ್ ನೀಡಿದ್ದಾರೆ.","Karnataka has been administered the 94,47,900 dose."
ಕೌಶಿಕನು ದಾರಿಯನ್ನು ಮರೆತಿದ್ದಾನೆ,Kaushik forgets the way
ಕೆಲವು ಕೂಲಿ ಕಾರ್ಮಿಕರು ಮಾತ್ರ ನಿರ್ಮಾಣ ಚಟುವಟಿಕೆಗಾಗಿ ನಡೆದುಕೊಂಡು ಹೋಗುತ್ತಿದ್ದಾರೆ.,Only a few wage labourers are walking for the construction activity.
ಹಳ್ಳಿಗಳಲ್ಲಿ ಮಳೆಗಾಲದ ಮೊದಲಲ್ಲಿ ಮೇಲಕ್ಕೆ ಏರುವ ಮೀನುಗಳನ್ನು ಹಿಡಿಯುತ್ತಿದ್ದರು,The villages used to catch fish that used to climb up in the early monsoons
ಮತ್ತು ಒಂದು ಕಾಲಿಂದ ಬಾಹುಬಲಿಯ ಮೂರ್ತಿಯನ್ನು ರಾತ್ರಿ ಹಗಲು ಕೆತ್ತುತ್ತಿರುವುದು ತಿಳಿಯುತ್ತದೆ,"And with one leg, the idol of Baahubali is seen being carved day and night."
ಅದಿತೇಯನು ಸಾರಥಿಯಾಗಿದ್ದಾನೆ,Aditeya is the leader
ಜನರು ಮಾರ್ಗಸೂಚಿ ಉಲ್ಲಂಘನೆ ಮಾಡಿದಾಗ ನಾವು ಸೂಕ್ತ ಕ್ರಮ ಕೈಗೊಳ್ಳುತ್ತಿದ್ದೇವೆ ಎಂದು ಹೇಳಿದರು.,"We are taking appropriate action when people violate the guidelines, ""he said."
ಇಲ್ಲದಿದ್ದರೆ ಅದನ್ನೂ ಅದರಲ್ಲಿ ಆವತ್ತೇ ಬರಿಯುತ್ತಾರೆ,"If not, they'll write it down as well."
ಜಗದೀಶನು ಘಂಟೆಯನ್ನು ಬಾರಿಸುತ್ತಾನೆ,jagdish rings the bell
ಅದ್ವಿಕನು ಸಾರಥಿಯಾಗಿದ್ದಾನೆ,Advika is the charioteer
ತನ್ನ ಪ್ರೀತಿಯ ಅಣ್ಣ ಚಿದ್ರ ದೇಹಿಯಾಗಿ ಒಸರುವ ರಕ್ತದ ಮಡುವಿನಲ್ಲಿ ಒದ್ದಾಡುತ್ತಿರುವಂತೆ,As his beloved brother Chidra wakes up in a pool of gushing blood.
ರವೀಶನು ತಪ್ಪಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾನೆ,Ravish is on the run
ಆದರೆ ಅದು ನಾಟಕ ಅಲ್ಲ ಅಲ್ಲಿ ಅಭಿನಯ ಇದೆ,"But it's not a play, there's an act."
ಅಜಯನು  ಉಚ್ಚಾರ-ಮಾಡುತ್ತಾನೆ,ajay pronounces
ಆದರೂ ಎಲ್ಲಾ ಕ್ರಮಗಳು ಮಾಯವಾಗದೆ ಉಳಿದದ್ದು ಸಂತೋಷದ ವಿಚಾರ,"However, it is a matter of happiness that all the measures have not disappeared."
ಕನ್ನಡದಲ್ಲಿ ಬಿದಿರು ಹೇಳುತ್ತಾರೆ,Bamboo is spoken in Kannada
ನೀಲಕಂಠನು ಓಡಿಸುತ್ತಾನೆ,Neelkanth drives
ಪುತ್ತೂರು ಸಿಟಿ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಾದ ಪೂಜಿತಾರವರು ರವಿವಾರ ಬೆಳಿಗ್ಗೆ ಅವಳಿ ಮಕ್ಕಳಿಗೆ ಜನ್ಮ ನೀಡಿದ್ದಾರೆ.,"Admitted to Puttur City Hospital, Pujitha gave birth to twins on Sunday morning."
ಅಜ್ಜಿಯ ಕಾರ್ಯ ಹಾಗೆ ಬರಲಿಲ್ಲ,Grandma's work didn't work out that way.
ತುಳಸಿ ಎಲೆ ಕೇಪುಲ ಪುಷ್ಪವನ್ನು ಓಂಕಾರದ ನಡುವಿನಲ್ಲಿ ಇಡುತ್ತಾರೆ,The tulsi leaf capula flower is placed in the middle of the Omkara.
ಶಿವಾನಂದನು ವಿಷ್ಣುವಿನ ಭಕ್ತನಾಗಿದ್ದಾನೆ,Sivananda is a devotee of Vishnu.
ಈಚೆಯಿಂದ ದೈವಗಳೂ ಮಾಯದ,The gods and goddesses
ವಿಪಿನನು  ತೆಗೆದುಕೊಳ್ಳುತ್ತಾನೆ,Vipin takes
ಅಕ್ಷಯನು ಪಡೆಯುತ್ತಾನೆ,Akshaya gets
ಅಭಿನವನು ಅವರ ಮಾತನ್ನು ಪ್ರತಿಭಟಿಸುತ್ತಿದ್ದಾನೆ,Abhinav is protesting their words
ಹೇಳಿದನ್ನು ಕೇಳಿ ತನ್ನ ಮಸ್ತಕದ ಪುಸ್ತಕದಲ್ಲಿ ಜ್ಞಾನ ಎನ್ನುವ ಗಂಟು ಕಟ್ಟಿ ಇಡುತ್ತಿದ್ದರು,He used to tie a knot called jnana in the book of his head after listening to it.
ತನಗೆ ಬೇಕಾದ ಪರಿಕರಗಳನ್ನು ಜೋಡಿಸಿಕೊಳ್ಳುತ್ತಾನೆ,He assembles the tools he needs
ತಲೆಯ ಮೇಲೆ ಕಾಲಿನ ಕೆಳಗೆ ಒಂದು ತೆಂಗಿನಕಾಯಿ ಒಡೆದು ಅದಕ್ಕೆ ಬತ್ತಿ ಹೊತ್ತಿಸಿ ಎಣ್ಣೆ ಹಾಕಿ ಹೊತ್ತಿಸಿ ಇಡುತ್ತಾರೆ,"A coconut is broken on the head and under the leg, dried and lit with oil."
ಪ್ರಹ್ಲಾದನು  ಹಿಡಿದುಕೊಂಡಿದ್ದಾನೆ,Prahla ̄ da is holding
ಅಜ್ಜಿ ಅಜ್ಜಂದಿರು ರಾತ್ರಿಯಲ್ಲಿ ಮೈನೀರು ಮೈಯಲು ಹೊರಗೆ ಹೋಗಿ ಬಂದು ಹೇಳುತ್ತಿದ್ದರು,Grandmothers and grandfathers used to come out at night to drink water.
ನಂಜುಂಡನು ಒಳ್ಳೆಯ ಹುಡುಗ ಇದ್ದಾನೆ,Nanjund is a good boy.
ಆಕಾಶನು ಚುರುಕಾಗಿ ಕೆಲಸವನ್ನು ಮಾಡುತ್ತಾನೆ,The sky does the work in a brisk way
ನಂತರ ಮಗುವಿಗೆ ಸ್ನಾನಮಾಡಿಸುವಾಗ,Then when bathing the baby
ಬಾಲಕನಿಗೆ ಗುರುಕುಲದ ವಾತಾವರಣ ಹೊಸದು,The atmosphere of the Gurukul is new for the boy
ಅದರ ಶಬ್ದಕ್ಕೆ ಮಲಗಿ ಇದ್ದ ಹುಲಿ ಎದ್ದು ಕೂಗಲಿಕ್ಕೆ ಪ್ರಾರಂಭ ಮಾಡಿತು,"At the sound of it, the sleeping tiger got up and began to scream."
ಅವಳು ಇದೇ ಊರಿನಲ್ಲಿ ಹಂದಿಯಾಗಿ ಹುಟ್ಟಿದ್ದಾಳೆ,She was born as a pig in the same town.
ಆದ ವಿಷಯದ್ದಲ್ಲೂ ಇದಕ್ಕೆ ತುಂಬಾ ಅರ್ಥ ಕೊಟ್ಟು ನಮಗೆ ಹೇಳಲಿಕ್ಕೆ ಬರೆಯಲಿಕ್ಕೆ ಸಾಧ್ಯ,"In any case, it makes a lot of sense and can be written to tell us."
ಆದರೆ ಹಲಸಿನಕಾಯಿಯ ಚಿಲ್ಕ ಅಂದರೆ ಹಲಸಿನಕಾಯಿಗೆ ಹಿಡಿದ ಚೀಲ ತೆಗೆಯಲು ಮಕ್ಕಳು ತಯಾರಿಲ್ಲ,"But the children are not ready to take out the jackfruit chilka, that is, the bag held by the jackfruit"
ಕೇಂದ್ರ ಸರ್ಕಾರದ ಆದೇಶದ 18 ವರ್ಷ ಮೇಲ್ಪಟ್ಟವರಿಗೆ ಕೋವಿಡ್ ಲಸಿಕೆ ಹಾಕುವುದರಿಂದ ಲಸಿಕೆ ಪಡೆದ 28 ದಿನದ ತನಕ ರಕ್ತದಾನ ಮಾಡಲು ಅವಕಾಶ ಇಲ್ಲದಿರುವುದರಿಂದ ಕುಂದಾಪುರದ ಭಾರತೀಯ ರೆಡ್‍ಕ್ರಾಸ್ ಸಂಸ್ಥೆಯಲ್ಲಿ ರಕ್ತದ ಕೊರತೆ ಇದೆ ಎಂದು ಕೆಲವೊಂದು ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಬಂದಿರುವಂತಹ ವರದಿಯನ್ನು ಕುಂದಾಪುರದ ರೆಡ್‍ಕ್ರಾಸ್ ಸಂಸ್ಥೆಯ ಅಧ್ಯಕ್ಷರಾದ ಜಯಕರ ಶೆಟ್ಟಿ ತಿಳಿಸಿದ್ದಾರೆ.,"Jayakar Shetty, president of the Kundapur-based Red Cross, said that there is a report on some social media that the Indian Red Cross Institute in Kundapur is short of blood as the central government-mandated Covid vaccination of people above 18 years of age does not allow blood donation until 28 days after vaccination."
ತಾನು ಬಾಹುಬಲಿಯ ಮೂರ್ತಿಯನ್ನು ಕೆತ್ತಬೇಕು ಎಂದು ಅದೆಷ್ಟೋ ಸಮಯದಿಂದ ಬಯಕೆಯನ್ನು ಇಟ್ಟುಕೊಂಡಿದ್ದರು,He had long wanted to carve an idol of Baahubali.
ನನ್ನ ಆಯುಷ್ಯದ ಪಟ್ಟ ಮತ್ತೆ ಜಪದ ಮಾಲೆ,The roar of my life again
ಮನೋಹರನು ಹೊದಿಕೆಯನ್ನು ಉಪಯೋಗಿಸುತ್ತಿದ್ದಾನೆ,Manohar is using a blanket
ಸಾಗುವಳಿಯ ಗದ್ದೆ ಕೆಸರುನೀರು ಅನ್ನುವಾಗ ಈಗಿನವರಿಗೆ ವಾಸನೆ ಬರುವುದು,Today's people smell the smell of silt water on the farm.
ಬೆಕ್ಕು ಮರ ಏರುತ್ತಿದೆ.,The cat is climbing the tree.
ಹಿರಿಯರು ಮಾಡಿದ ಕಟ್ಟಿನಲ್ಲಿ ಒಂದೊದರಲ್ಲಿ ಒಂದೊಂದು ವಿಚಾರ ಅಡಗಿ ಇದೆ ಎನ್ನುವುದು ಸತ್ಯ,It is a fact that one thing is hidden in the bond made by the elders.
ವಿಹಾನನು ತುಂಬಾ ಬಡವನಾಗಿದ್ದನು,Vihaan was very poor
ಆವಾಗ ಹೇಳುವವನ ಅಥವಾ ಬರೆಯುವವನ ಮಾತಿನ ತಾತ್ಪರ್ಯ ತಾನಾಗಿಯೇ ಮೂಡಿ ಬರುವುದು,It is then that the meaning of the speaker's or writer's speech becomes self-evident.
ವಿಹಾನನು ತಿನ್ನುತ್ತಿದ್ದಾನೆ,Vihaan is eating
ವಿಜಯನು ಪಾರ್ವತಿಯ ಗಂಡ,Vijay is Parvati's husband.
ಗಾಡಿ ಇಲ್ಲದೆ ಹೋಗುವಂತೆ ಇಲ್ಲ,Don't go without a car
ಉಪೇಂದ್ರನು ವಿವಾಹವಾಗುತ್ತಾನೆ,Upendra gets married
ಹಾಗಾಗಿ ನೆಕ್ಕಿಯ ಕೋಲು ಹಿಡಿದುಕೊಂಡು ನಲಿಯುವ ಒಂದು ಕುಣಿತ ಕರಂಗೋಲು,So there is a swinging karangolu holding a stick of neeki and chewing it.
ಕಾರ್ತಿಕನು ಮಾತನಾಡುತ್ತಾನೆ,Kartik speaks
ತಂತ್ರದಲ್ಲಿ ತಣಿಸಬೇಕು ಕಂಚಿನ ಡಬ್ಬದಲ್ಲಿ ದೈವವನ್ನು ಬಂಧನ ಮಾಡಬೇಕು,Tantra has to be suppressed and the deity has to be arrested in a bronze box.
ಕೋವಿಡ್ ಕಾರ್ಯಪಡೆಯ ಎಲ್ಲರೂ ಇದರಲ್ಲಿ ಸಕ್ರೀಯವಾಗಿ ಪಾಲ್ಗೊಳ್ಳಬೇಕು.,Everyone in the Covid workforce should be actively involved.
ಮಂಗಳೂರಿನ ಒಂದು ದೊಡ್ಡ ರಸ್ತೆಗೆ ಮತ್ತು ಬೆಂಗಳೂರಿನ ಒಂದು ಬಡಾವಣೆಗೂ ಅವರ ಹೆಸರನಿಟ್ಟು ಕರ್ನಾಟಕದ ಎಲ್ಲಾ ಜನತೆ ಅವರಿಗೆ ಗೌರವ ನೀಡಿದ್ದಾರೆ.,All the people of Karnataka have honoured him by naming a large road in Mangalore and a stretch in Bangalore after him.
ಆಶಾಢದ ರಾವು ಗುಳಿಗನಿಗೆ ಮನೆಯ ಹೊರಗೆ ಕಾಯೆರಿನ ಮರದ ಅಡಿಯಲ್ಲಿ ಬಡಿಸುತ್ತಾರೆ,Ashadha's Rao serves gulag outside the house under a coconut tree
ತುಳು ವಿಕಿಪೀಡಿಯ ಲೈವ್ ಮಾಡಲು ರಹಮಾನುದ್ದೀನ್ ಷೇಕ್ ಮಾರ್ಗದರ್ಶನ ನೀಡಿದರು – ಅದು ಮೂರು ರೀತಿಗಳಲ್ಲಿ:,Rahmanuddin Sheikh guided the Tulu Wikipedia to go live - in three ways:
ರಾಮಣ್ಣ ಬೆಳ್ಳಗ್ಗೆ ಬೆಳ್ಳಗ್ಗೆ ಏನು,Ramanna what is white to white?
ಅಜಯನು ಸೌಂದರ್ಯದ ರಾಜನಾಗಿದ್ದಾನೆ,Ajay is the king of beauty.
ಹೋಗುವಾಗ ಚಂದ್ರನ ಕಣ್ಣು,The eye of the moon as you go
ಅನೀಶನು ಕೋಪದಿಂದ ಅಬ್ಬರಿಸುತ್ತಿದ್ದಾನೆ,Anish is writhing in anger
ದರ್ಶನನು ಸಿನಿಮಾದಲ್ಲಿ ನಟಿಸುತ್ತಾನೆ,darshan acts in the movie
ನಂದುವ ಮೊದಲೇ ಸಿರಿಯ ಕಣ್ಣ ನೀರು ನಿಲ್ಲುವ ಮೊದಲೇ,Siri's eyes water before it stops.
ಅಭಿಷೇಕನು  ನಡೆಯುತ್ತಿದ್ದಾನೆ,The anointing is going on
ಬೆಂಕಿಯ ಬಿಸಿ ತಾಗಿದಾಗೆಯೇ ತನ್ನ ಕಾಲನ್ನು ಎಳೆದ,He pulled his leg when the fire was hot.
ಸೀಮಂತದಂದು ಮೊದಲಾಗಿ ನಡೆಯುವುದೇ ಸೀರೆ ಕೊಡುವುದು,The first thing to do on the beach is to give a saree.
ಜಯರಾಜನು ಹಾಡುತ್ತಾನೆ,Jayaraj sings
ಅನಂತಾಡಿ ಪುತ್ತೂರಿನ ಬಲ್ನಾಡ್ ಜಾಗದಲ್ಲಿ ತಾಯಿಯ ಗುಡಿ ಇದೆ,"There is a Mother's Temple at Balnad, Anantadi Puttur"
ಎನ್ನುವ ಉಪಾಯವನ್ನು ತಿಳಿಸುವ ತುಳುವರ ಈ ಗಾದೆಯನ್ನು ಸ್ವಲ್ಪ ವಿಚಾರ ಮಾಡುವ,"Consider this proverb of Tulu, which suggests the idea of"
ಆನಂದನು ಸಂಭ್ರಮವನ್ನು ಆಚರಿಸುತ್ತಾನೆ,Ananda celebrates
ದರ್ಶನನು ಓದುತ್ತಾನೆ,The visionary reads
ಕಡಿಯಾಳಿಯಲ್ಲಿ ಇರುವ ಜಿಲ್ಲಾ ಬಿಜೆಪಿ ಕಚೇರಿಯಲ್ಲಿ ಅವರು ಜಿಲ್ಲಾ ಕೋವಿಡ್ 2.0 ಸಹಾಯವಾಣಿಗೆ ಚಾಲನೆ ನೀಡಿ ಮಾತನಾಡಿದರು.,He was speaking after launching the District COVID 2. 0 Helpline at the District BJP Office in Kadiyali.
ಅನುಜನು ಕಿರಿಕಿರಿ ಮಾಡುತ್ತಾನೆ,Anuj is annoying
ಬೆಳಕು ಯಾವುದಕ್ಕೆ ಪರಿಹಾರ ಎಂದು ಅವರ ಆಲೋಚನೆ?,What do they think light is the solution to?
ನಟ್ಟ ನಡುರಾತ್ರಿಯ ಹೊತ್ತು,In the middle of the night
ಆಯುಷನು ಕಥೆಯನ್ನು ಮುಗಿಸುತ್ತಿದ್ದಾರೆ,Aayush is finishing the story
ಸಹೋದರರು ಅವನು ರಾಕ್ಷಸ ಎಂದು ತಿಳಿದು ಅವನನ್ನು ಹೊಡೆದು ಸಾಯಿಸಿದರು.,The brothers knew that he was a demon and beat him to death.
ಉಷಾರಾಣಿಯವರು ಮಂಗಳೂರು ತಾಲೂಕು ಹಳೆಯಂಗಡಿ ಕೊಪ್ಪಲದ ಶ್ರೀಮತಿ ಬಿ. ಕೋಟ್ಯಾನ್ ಮತ್ತು ಉಡುಪಿ ಜಿಲ್ಲೆ ಕಾಪುವಿನ ದಿ. ಭಾಸ್ಕರ್ ಆರ್. ಕೋಟ್ಯಾನ್ ದಂಪತಿಗಳ ಪುತ್ರಿ.,"Usharani is the daughter of Mrs. B. Kotian of Purvanagadi Koppal, Mangalore Taluk and D. Bhaskar R. Kotian of Kapu, Udupi District."
ಕಿರಣನು ನೋಡುತ್ತಿದ್ದಾನೆ,Kiran is watching
ದೊಡ್ಡ ದೊಡ್ಡ ಗಂಡು ಹೆಣ್ಣು ಹಂದಿಗಳು,Large male and female pigs
ಆ ಹೆಸರು ಹೇಗೆ ಬಂತು ನಿಮಗೆ ತಿಳಿದಿದೆಯಾ?,Do you know how that name came about?
ಅದರ ನಂತರ ಹೆಣ್ಣನ ಮನೆಯವರು,"After that, the girl's family"
ನಮ್ಮ ಹಿಂದಿನ ತುಳುವರು,The people of our past
ಇಟ್ಟು ಆದ ಮೇಲೆ ಮೂರು ಸುತ್ತು ಮುರಿಯ ಕರೆಯುತ್ತಾರೆ,"Once placed, three rounds of breaking are called."
ಒಟ್ಟು 209 ಷೇರುದಾರರ ಪೈಕಿ 198 ಸದಸ್ಯರು ಮತದಾನ ಮಾಡಿದ್ದರು.,"Out of a total of 209 shareholders, 198 members voted."
ಮಂಗಳೂರು ಸುಂದರವಾದ ನಗರ,Mangalore is a beautiful city.
ಮಕ್ಕಳು ಬೆಳಕಿಗೆ ಕೈಮುಗಿದು ಏನು ನೀಡೆಂದು ಕೇಳಿಕೊಂಡರು?,"The children turned their hands to the light and asked, ""What did you offer?"""
ನಮ್ಮ ಹಿಂದಿನ ತುಳುವರು,The people of our past
ಅಮರನು ಡ್ಯೂಟಿ ಮಾಡುತ್ತಾನೆ,Amar does duty
ವಿಹಾನನು ಆರೋಗ್ಯವಂತನಾಗಿದ್ದಾನೆ,Vihaan is healthy
ಪ್ರತಿಯೊಂದು ಆಚರಣೆಯಲ್ಲಿ ಗಣಪತಿಯನ್ನು ಆರಾಧಿಸುವ ವಿಶಿಷ್ಟವಾದ ಒಂದು ಕ್ರಮ ಇದೆ,Each ritual has a unique way of worshipping Ganesha
ಇಲ್ಲವಾದಲ್ಲಿ ಆ ಅಕ್ಕಿಯನ್ನು ಅನ್ನ ಬೇಯುವಾಗ ಹಾಕಿ,"If not, add the rice while it's cooking."
ಇಲ್ಲಿ ನಾಗೆರ್ ಎನ್ನುವ ಜನಾಂಗ ಇತ್ತು,There was a tribe called the Nagars
ಅದ್ವೈತನು ಬಿಡುತ್ತಾನೆ,Advaita leaves
ವಿಶ್ವನಾಥನು ನೂಕುತ್ತಿದ್ದಾನೆ,Vishwanath is bouncing
ಹಾಗೆಯೇ ಪಕ್ಷಿ ಮೃಗಗಳು ತುಂಬಿ ಇತ್ತು,It was also full of birds and beasts.
ಅಧೀಶನು ಸಂಗೀತವನ್ನು ಆಲಿಸುತ್ತಾನೆ,adish listens to music
ಈಶ್ವರ ದೇವರ ಎದುರು ಕಲ್ಲಿನ ಕೆತ್ತನೆಯ ಬಸವ ತಿರುಗಿಸಿ ಬಿಸಾಡುವುದಿಲ್ಲ,Stone carvings are not flipped and thrown in front of the god Ishvara.
ಹಾಗೆಯೇ ಪಕ್ಷಿ ಮೃಗಗಳು ತುಂಬಿ ಇತ್ತು,It was also full of birds and beasts.
ಬುಧವಾರ ಇದಕ್ಕೆ ಅಧಿಕೃತ ಚಾಲನೆ ನೀಡಿದರು.,It was officially launched on Wednesday.
ಆದರೆ ನಾವೆಲ್ಲರೂ ನೂರು ನೂರು ರೂಪಾಯಿ ಖರ್ಚು ಮಾಡಿ ಅರ್ಜಿ ಹಾಕಿದ್ದೆವು.,But all of us had applied after spending a hundred rupees.
